,baseline,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-10-12,-5.88,-2.9448794195934846,-2.9448794195934846,-2.9448794195934846,-2.9448794195934846
1973-10-15,-5.6,-3.0,-3.0,-3.0,-3.0
1973-10-16,-1.82,-0.9996413784019783,-0.9996413784019783,-0.9996413784019783,-0.9996413784019783
1973-10-17,2.94,1.0351907845864197,1.0351907845864197,1.0351907845864197,1.0351907845864197
1973-10-18,0.28,0.07,0.07,0.07,0.07
1973-10-19,-1.96,-0.49,-0.49,-0.49,-0.49
1973-10-22,-2.24,-0.56,-0.56,-0.56,-0.56
1973-10-23,0.0,0.0,0.0,0.0,0.0
1973-10-24,0.84,0.20505543121452893,0.20505543121452893,0.20505543121452893,0.20505543121452893
1973-10-25,2.8,0.6,0.6,0.6,0.6
1973-10-26,-3.64,-0.78,-0.78,-0.78,-0.78
1973-10-29,-5.6,-1.2,-1.2,-1.2,-1.2
1973-10-30,0.0,-0.015047050980538669,-0.015047050980538669,-0.015047050980538669,-0.015047050980538669
1973-10-31,1.4,0.14499073166286958,0.14499073166286958,0.14499073166286958,0.14499073166286958
1973-11-01,0.84,0.06,0.06,0.06,0.06
1973-11-02,-0.28,-0.02,-0.02,-0.02,-0.02
1973-11-05,1.4,0.1,0.1,0.1,0.1
1973-11-06,-1.8250106464532494,-0.13,-0.13,-0.13,-0.13
1973-11-07,0.435,0.03,0.03,0.03,0.03
1973-11-08,0.7199975335264516,0.05,0.05,0.05,0.05
1973-11-09,0.15,0.004999931730944618,0.004999931730944618,0.004999931730944618,0.004999931730944618
1973-11-12,3.5949893765540115,0.36,0.36,0.36,0.36
1973-11-13,1.085,0.08495530367793547,0.08495530367793547,0.08495530367793547,0.08495530367793547
1973-11-14,-1.250027286032533,-0.2950409290487996,-0.2950409290487996,-0.2950409290487996,-0.2950409290487996
1973-11-15,0.489991177865176,0.15,0.15,0.15,0.15
1973-11-16,0.3299823975465504,0.09499119877327519,0.09499119877327519,0.09499119877327519,0.09499119877327519
1973-11-19,2.1549924255345503,0.66,0.66,0.66,0.66
1973-11-20,7.389916104407493,2.1848741566112393,2.1848741566112393,2.1848741566112393,2.1848741566112393
1973-11-21,3.12,1.0947686545065665,1.0947686545065665,1.0947686545065665,1.0947686545065665
1973-11-22,0.0,-0.020185449672263406,-0.020185449672263406,-0.020185449672263406,-0.020185449672263406
1973-11-23,-1.56,-0.92,-0.92,-0.92,-0.92
1973-11-26,-7.02,-4.14,-4.14,-4.14,-4.14
1973-11-27,0.39,0.20966966109071966,0.20966966109071966,0.20966966109071966,0.20966966109071966
1973-11-28,7.8,3.7948832284022433,3.7948832284022433,3.7948832284022433,3.7948832284022433
1973-11-29,2.73,1.26,1.26,1.26,1.26
1973-11-30,-1.95,-0.9102387394125586,-0.9102387394125586,-0.9102387394125586,-0.9102387394125586
1973-12-03,-2.145,-1.1,-1.1,-1.1,-1.1
1973-12-04,3.705,1.9,1.9,1.9,1.9
1973-12-05,-5.270147341230412,-2.7,-2.7,-2.7,-2.7
1973-12-06,4.2,2.1,2.1,2.1,2.1
1973-12-07,1.0,0.5,0.5,0.5,0.5
1973-12-10,0.19485344942894808,0.1,0.1,0.1,0.1
1973-12-11,6.349836645437229,3.1,3.1,3.1,3.1
1973-12-12,-3.78,-1.8155193379910548,-1.8155193379910548,-1.8155193379910548,-1.8155193379910548
1973-12-13,1.26,0.69,0.69,0.69,0.69
1973-12-14,0.6248288505003995,0.345,0.345,0.345,0.345
1973-12-17,1.709662538658683,0.92,0.92,0.92,0.92
1973-12-18,-4.730180350186954,-2.425360700373909,-2.425360700373909,-2.425360700373909,-2.425360700373909
1973-12-19,2.76,1.5,1.5,1.5,1.5
1973-12-20,-0.00518176955891914,0.0,0.0,0.0,0.0
1973-12-21,-1.4151833840751438,-0.75,-0.75,-0.75,-0.75
1973-12-24,-0.0051830281832359396,0.0,0.0,0.0,0.0
1973-12-25,0.0,0.0,0.0,0.0,0.0
1973-12-26,-5.39,-2.75,-2.75,-2.75,-2.75
1973-12-27,3.185,1.5990148510966882,1.5990148510966882,1.5990148510966882,1.5990148510966882
1973-12-28,-0.7401975682949485,-0.3,-0.3,-0.3,-0.3
1973-12-31,-2.00519861592664,-0.8,-0.8,-0.8,-0.8
1974-01-01,0.0,0.0,0.0,0.0,0.0
1974-01-02,3.8198048738384913,1.5,1.5,1.5,1.5
1974-01-03,-1.04,-0.4,-0.4,-0.4,-0.4
1974-01-04,3.3748087483052602,1.3,1.3,1.3,1.3
1974-01-07,7.679799312211989,2.8895986244239786,2.8895986244239786,2.8895986244239786,2.8895986244239786
1974-01-08,2.16,0.8540255391887119,0.8540255391887119,0.8540255391887119,0.8540255391887119
1974-01-09,-7.02,-3.5308303299003874,-3.5308303299003874,-3.5308303299003874,-3.5308303299003874
1974-01-10,10.26,5.879530227614767,5.879530227614767,5.879530227614767,5.879530227614767
1974-01-11,-1.900473393085232,-1.015,-1.015,-1.015,-1.015
1974-01-14,3.38,1.885,1.885,1.885,1.885
1974-01-15,1.56,0.87,0.87,0.87,0.87
1974-01-16,1.3,0.7145307485463811,0.7145307485463811,0.7145307485463811,0.7145307485463811
1974-01-17,4.16,2.4695552763186854,2.4695552763186854,2.4695552763186854,2.4695552763186854
1974-01-18,-2.605226088035396,-1.6656782641061871,-1.6656782641061871,-1.6656782641061871,-1.6656782641061871
1974-01-21,-0.795,-0.54,-0.54,-0.54,-0.54
1974-01-22,-6.630243741772373,-4.5,-4.5,-4.5,-4.5
1974-01-23,-4.86,-3.2662493711408356,-3.2662493711408356,-3.2662493711408356,-3.2662493711408356
1974-01-24,1.89,1.053501677730563,1.053501677730563,1.053501677730563,1.053501677730563
1974-01-25,10.8,5.0,5.0,5.0,5.0
1974-01-28,-0.5452591126055473,-0.25,-0.25,-0.25,-0.25
1974-01-29,-3.975,-1.875,-1.875,-1.875,-1.875
1974-01-30,2.12,1.0,1.0,1.0,1.0
1974-01-31,1.59,0.75,0.75,0.75,0.75
1974-02-01,0.53,0.24475550863672954,0.24475550863672954,0.24475550863672954,0.24475550863672954
1974-02-04,-1.325,-0.6552455568953338,-0.6552455568953338,-0.6552455568953338,-0.6552455568953338
1974-02-05,-1.325,-0.675,-0.675,-0.675,-0.675
1974-02-06,-1.0652021795330338,-0.54,-0.54,-0.54,-0.54
1974-02-07,1.884798750915092,0.945,0.945,0.945,0.945
1974-02-08,4.669801105609505,2.295,2.295,2.295,2.295
1974-02-11,4.76,2.279496206856616,2.279496206856616,2.279496206856616,2.279496206856616
1974-02-12,-0.005132878029762882,-0.025664390148814407,-0.025664390148814407,-0.025664390148814407,-0.025664390148814407
1974-02-13,-4.275,-2.625,-2.625,-2.625,-2.625
1974-02-14,3.99,2.45,2.45,2.45,2.45
1974-02-15,3.42,2.1,2.1,2.1,2.1
