,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-07-02,4.250456235263292,4.250456235263292,4.250456235263292,4.250456235263292,2.0015257362474816,2.0015257362474816,2.0015257362474816,2.0015257362474816
1973-07-03,0.31205742529917746,0.31205742529917746,0.31205742529917746,0.31205742529917746,0.14411485059835485,0.14411485059835485,0.14411485059835485,0.14411485059835485
1973-07-04,0.0,0.0,0.0,0.0,-0.008822799516154504,-0.008822799516154504,-0.008822799516154504,-0.008822799516154504
1973-07-05,-3.8,-3.8,-3.8,-3.8,-2.85,-2.85,-2.85,-2.85
1973-07-06,1.0,1.0,1.0,1.0,0.7469920607962752,0.7469920607962752,0.7469920607962752,0.7469920607962752
1973-07-09,0.5,0.5,0.5,0.5,0.35,0.35,0.35,0.35
1973-07-10,-1.8,-1.8,-1.8,-1.8,-1.26,-1.26,-1.26,-1.26
1973-07-11,4.1480000000000015,4.1480000000000015,4.1480000000000015,4.1480000000000015,2.9036000000000013,2.9036000000000013,2.9036000000000013,2.9036000000000013
1973-07-12,0.6519999999999981,0.6519999999999981,0.6519999999999981,0.6519999999999981,0.4563999999999987,0.4563999999999987,0.4563999999999987,0.4563999999999987
1973-07-13,2.4,2.4,2.4,2.4,1.6737988917700253,1.6737988917700253,1.6737988917700253,1.6737988917700253
1973-07-16,3.4,3.4,3.4,3.4,2.7074413640077055,2.7074413640077055,2.7074413640077055,2.7074413640077055
1973-07-17,-2.1,-2.1,-2.1,-2.1,-2.1126392647809453,-2.1126392647809453,-2.1126392647809453,-2.1126392647809453
1973-07-18,0.6,0.6,0.6,0.6,0.72,0.72,0.72,0.72
1973-07-19,4.2,4.2,4.2,4.2,5.04,5.04,5.04,5.04
1973-07-20,4.0,4.0,4.0,4.0,4.790171469241072,4.790171469241072,4.790171469241072,4.790171469241072
1973-07-23,3.2,3.2,3.2,3.2,4.310079707369184,4.310079707369184,4.310079707369184,4.310079707369184
1973-07-24,-2.0,-2.0,-2.0,-2.0,-3.006649320192515,-3.006649320192515,-3.006649320192515,-3.006649320192515
1973-07-25,3.6,3.6,3.6,3.6,5.76,5.76,5.76,5.76
1973-07-26,2.3966203348077095,2.3966203348077095,2.3966203348077095,2.3966203348077095,3.8366203348077095,3.8366203348077095,3.8366203348077095,3.8366203348077095
1973-07-27,-4.203444614865945,-4.203444614865945,-4.203444614865945,-4.203444614865945,-6.606889229731889,-6.606889229731889,-6.606889229731889,-6.606889229731889
1973-07-30,4.62,4.62,4.62,4.62,7.35,7.35,7.35,7.35
1973-07-31,4.4,4.4,4.4,4.4,7.0,7.0,7.0,7.0
1973-08-01,-1.54,-1.54,-1.54,-1.54,-2.45,-2.45,-2.45,-2.45
1973-08-02,-0.66,-0.66,-0.66,-0.66,-1.05,-1.05,-1.05,-1.05
1973-08-03,4.18,4.18,4.18,4.18,6.65,6.65,6.65,6.65
1973-08-06,4.4,4.4,4.4,4.4,7.0,7.0,7.0,7.0
1973-08-07,4.4,4.4,4.4,4.4,7.0,7.0,7.0,7.0
